Address,LeadConc
1,190.4
2,231.8
3,33.7
4,276.9
5,0
6,326.9
7,0
8,2.1
9,18.8
10,414.4
11,35.3
12,98
13,80
14,0
15,76.4
16,6
17,17.1
18,226.8
19,11.8
20,202.5
21,642.3
22,39.6
23,80.6
24,7.9
25,0
26,55.2
27,1260.2
